Id,DSM_PH4_RE,POINT_X,POINT_Y
0,8.36264000000,390749.34984600000,6438578.76005000000
0,8.42917000000,390750.04803100000,6438578.04413000000
0,8.36728000000,390750.74621600000,6438577.32822000000
0,10.92100000000,390751.44440200000,6438576.61230000000
0,11.01580000000,390752.14258700000,6438575.89638000000
0,10.99670000000,390752.84077300000,6438575.18046000000
0,10.99850000000,390753.53895800000,6438574.46455000000
0,10.99100000000,390754.23714300000,6438573.74863000000
0,10.96040000000,390754.93532900000,6438573.03271000000
0,10.97020000000,390755.63351400000,6438572.31680000000
0,10.97440000000,390756.33169900000,6438571.60088000000
0,10.96580000000,390757.02988500000,6438570.88496000000
0,10.94040000000,390757.72807000000,6438570.16905000000
0,10.94160000000,390758.42625500000,6438569.45313000000
0,10.95320000000,390759.12444100000,6438568.73721000000
0,10.95960000000,390759.82262600000,6438568.02129000000
0,10.94200000000,390760.52081100000,6438567.30538000000
0,10.92560000000,390761.21899700000,6438566.58946000000
0,10.93270000000,390761.91718200000,6438565.87354000000
0,10.93080000000,390762.61536700000,6438565.15763000000
0,10.93100000000,390763.31355300000,6438564.44171000000
0,10.92170000000,390764.01173800000,6438563.72579000000
0,10.93490000000,390764.70992400000,6438563.00987000000
0,10.92920000000,390765.40810900000,6438562.29396000000
0,10.95830000000,390766.10629400000,6438561.57804000000
0,10.94440000000,390766.80448000000,6438560.86212000000
0,10.93510000000,390767.50266500000,6438560.14621000000
0,10.95860000000,390768.20085000000,6438559.43029000000
0,10.97350000000,390768.89903600000,6438558.71437000000
0,10.91210000000,390769.59722100000,6438557.99846000000
0,4.98320000000,390770.29540600000,6438557.28254000000
0,4.82293000000,390770.99359200000,6438556.56662000000
0,4.36043000000,390771.69177700000,6438555.85070000000
0,4.29501000000,390772.38996200000,6438555.13479000000
0,4.30705000000,390773.08814800000,6438554.41887000000
0,4.27862000000,390773.78633300000,6438553.70295000000
0,4.30421000000,390774.48451800000,6438552.98704000000
0,4.33556000000,390775.18270400000,6438552.27112000000
0,4.28312000000,390775.88088900000,6438551.55520000000
0,4.29912000000,390776.57907500000,6438550.83929000000
0,4.35859000000,390777.27726000000,6438550.12337000000
0,4.46265000000,390777.97544500000,6438549.40745000000
0,4.50106000000,390778.67363100000,6438548.69153000000
0,4.44791000000,390779.37181600000,6438547.97562000000
0,4.48809000000,390780.07000100000,6438547.25970000000
0,4.43649000000,390780.76818700000,6438546.54378000000
0,4.35262000000,390781.46637200000,6438545.82787000000
0,4.33240000000,390782.16455700000,6438545.11195000000
0,4.33519000000,390782.86274300000,6438544.39603000000
0,4.31319000000,390783.56092800000,6438543.68011000000
0,4.35884000000,390784.25911300000,6438542.96420000000
0,4.37379000000,390784.95729900000,6438542.24828000000
0,9.48059000000,390785.65548400000,6438541.53236000000
0,10.66490000000,390786.35366900000,6438540.81645000000
0,9.62056000000,390787.05185500000,6438540.10053000000
0,7.68999000000,390787.75004000000,6438539.38461000000
0,9.74274000000,390788.44822600000,6438538.66870000000
0,10.02290000000,390789.14641100000,6438537.95278000000
0,10.60060000000,390789.84459600000,6438537.23686000000
0,10.78840000000,390790.54278200000,6438536.52094000000
0,10.35140000000,390791.24096700000,6438535.80503000000
0,10.48140000000,390791.93915200000,6438535.08911000000
0,9.87892000000,390792.63733800000,6438534.37319000000
0,4.25941000000,390793.33552300000,6438533.65728000000
0,4.56360000000,390794.03370800000,6438532.94136000000
0,4.66107000000,390794.73189400000,6438532.22544000000
0,5.12011000000,390795.43007900000,6438531.50953000000
0,5.56134000000,390796.12826400000,6438530.79361000000
0,9.14434000000,390796.82645000000,6438530.07769000000
0,10.05750000000,390797.52463500000,6438529.36177000000
0,10.07370000000,390798.22282000000,6438528.64586000000
0,10.12400000000,390798.92100600000,6438527.92994000000
0,10.18920000000,390799.61919100000,6438527.21402000000
0,10.23800000000,390800.31737600000,6438526.49811000000
0,10.24170000000,390801.01556200000,6438525.78219000000
0,10.28970000000,390801.71374700000,6438525.06627000000
0,10.33880000000,390802.41193300000,6438524.35035000000
0,10.31100000000,390803.11011800000,6438523.63444000000
0,10.27680000000,390803.80830300000,6438522.91852000000
0,12.33360000000,390804.50648900000,6438522.20260000000
0,12.41380000000,390805.20467400000,6438521.48669000000
0,12.51430000000,390805.90285900000,6438520.77077000000
0,12.61460000000,390806.60104500000,6438520.05485000000
0,12.70920000000,390807.29923000000,6438519.33894000000
0,12.79610000000,390807.99741500000,6438518.62302000000
0,12.87160000000,390808.69560100000,6438517.90710000000
0,12.97170000000,390809.39378600000,6438517.19118000000
0,13.06370000000,390810.09197100000,6438516.47527000000
0,13.15020000000,390810.79015700000,6438515.75935000000
0,13.24140000000,390811.48834200000,6438515.04343000000
0,13.32080000000,390812.18652700000,6438514.32752000000
0,13.39500000000,390812.88471300000,6438513.61160000000
0,13.46730000000,390813.58289800000,6438512.89568000000
0,13.56250000000,390814.28108400000,6438512.17976000000
0,13.67390000000,390814.97926900000,6438511.46385000000
0,13.78210000000,390815.67745400000,6438510.74793000000
0,13.81290000000,390816.37564000000,6438510.03201000000
0,13.74740000000,390817.07382500000,6438509.31610000000
0,13.68450000000,390817.77201000000,6438508.60018000000
0,13.55100000000,390818.47019600000,6438507.88426000000
0,13.47420000000,390819.16838100000,6438507.16835000000
0,13.35890000000,390819.86656600000,6438506.45243000000
0,13.30890000000,390820.56475200000,6438505.73651000000
0,13.22710000000,390821.26293700000,6438505.02059000000
0,13.12660000000,390821.96112200000,6438504.30468000000
0,13.05490000000,390822.65930800000,6438503.58876000000
0,12.95020000000,390823.35749300000,6438502.87284000000
0,12.84320000000,390824.05567800000,6438502.15693000000
0,12.72380000000,390824.75386400000,6438501.44101000000
0,12.67890000000,390825.45204900000,6438500.72509000000
0,12.55690000000,390826.15023500000,6438500.00918000000
0,12.43100000000,390826.84842000000,6438499.29326000000
0,12.33320000000,390827.54660500000,6438498.57734000000
0,12.26940000000,390828.24479100000,6438497.86142000000
0,4.53067000000,390828.94297600000,6438497.14551000000
0,4.11931000000,390829.64116100000,6438496.42959000000
0,3.87161000000,390830.33934700000,6438495.71367000000
0,3.77711000000,390831.03753200000,6438494.99776000000
0,3.67649000000,390831.73571700000,6438494.28184000000
0,3.70966000000,390832.43390300000,6438493.56592000000
0,3.17103000000,390833.13208800000,6438492.85000000000
0,3.22684000000,390833.83027300000,6438492.13409000000
0,3.65486000000,390834.52845900000,6438491.41817000000
0,3.68241000000,390835.22664400000,6438490.70225000000
0,3.21261000000,390835.92482900000,6438489.98634000000
0,3.21759000000,390836.62301500000,6438489.27042000000
0,3.24310000000,390837.32120000000,6438488.55450000000
0,3.20409000000,390838.01938600000,6438487.83859000000
0,3.32926000000,390838.71757100000,6438487.12267000000
0,3.09595000000,390839.41575600000,6438486.40675000000
